Q_Id,sentence-Devanagari-transcription,sentence-English-Latin-translation
D37,तारा कोआ होन को किलास रे काको हुजु लेना,Some of the boys did not come to the class.
D38,सेता को जोमे लागिड जानाओ एमे पे,Please give the dog something to eat.
D40,साबिन को गे गेल टाका एमा कोम,Give ten rupees to each one of them.
D41,नेनता: ओकोए अंगरेजी आदाना,Someone knows English here.
D42,बिंग को ओकोएओ काको राँसाओआ,Nobody likes snakes.
D43a,अम जाना आलोम चिकेया,You will do nothing.
D43b,आबेन जाना आलोबेन  चिकेया,You will do nothing.
D44,जानाओ बारीए सालाएमे,Pick any two.
D45,नेन कुलि रेआ काजि हल ओकोएओ एम दाइए,Anyone can answer this question.
D46,आञा: जियंग एसु पुरे बिस्कुट को एमाञए,My grandmother gave me a lot of biscuits.
D47,आइंग जोका चोकलेट एमाइंगमे,Give me a few chocolates.
D49,आञा ओआ: रे एसु पुरे दारु को मेना:,There are many trees in my house.
D50,आइंग जोका दा: एमाइंगपे,Please give me some water.
D51,साबिन चीनी दा: रे मिसे याना,All the sugar dissolved in water.
PN1,आइंग चास हो तानाइंग,I am a farmer.
PN3,आबू जाओगे पीरेबू पाइटीए,We work on the field everyday.
PN4,हरि पोरोब लागिड केआ केडबुए,Hari invited us for the festival.
PN5,आबु हाटोबु सेनो ताना,We are going to the market.
PN7a,आलिंग गापा आबेना ओआ: लिंग हुजुए,We will come to your home tomorrow.
PN6,होला हाटोरे आलिंग लो बेन नेपेल लेना,You met us at the market yesterday.
PN7b,गापा आमा ओआ: ले हुजुए,We will come to your home tomorrow.
Case11,आए: नेनाए सुकु येने,He liked it.
Case13,आकोआ कुनडेम पा रे आपिये सुकुरि को रिके ताड टाइकेना,They kept three pigs in their backyard.
Case14,कुनडेम पा रे अपिये हो को बु लेलाडकोआ,We saw three men in the backyard.
Case15,सिते अयुब पाञ रमेस लो मिलाओना,Sita will meet Ramesh in the evening.
Case16,आए लोइंग जागार ताना,I am talking to her.
Case18,आइंग राँसागे मेनाञए,I am happy.
Case19,आए रेञगे ताना,He is hungry.
Case20,आए मिन्डो  बाए एमाडिंगए,He gave me a flower.
Case21,मिनडो जोइंग एमाइए,I gave her a fruit.
Case23,कुइ होन चमचते कीरए जोम केडा,The girl ate the kheer with a spoon.
Case24,आए डानडाएते बिंगए गोए किए,He killed the snake with a stick.
Case27,आइंग गेंगटोकेतेइंग हुजु लेना,I came from Gangtok.
Case28,आइंग रेनोकरेइंग टाइने,I live in Rhenock.
Case29,कोआ होन रुमरे दुबे केने,The child is sitting in the room.
Case30,ओए दारु चेतान रे दुबे केने,The bird is sitting on the top of the tree.
Case31,पाँच बजे हुजुपे,Come at 5 O'clock.
Case32,सिंगि ओल रे हुजु बेन,Come in the morning at sunrise.
Case33,पामिले निकिते लो इनुंग ताना,Pemila is playing with Nikita.
Case34,आए आलिंगलोए सेना,He will go with us.
Case35,पामिले आपुते बुगिने,Pemila's father is good.
Case36,नेना आञा तातातेआ ओआ: ताना,This is the house of my grandpa.
Case37,आया उनडिते कोआइंग लेलाइए,I saw her brother.
Case39,आञा जी गापा हुजु तेने,My father's sister is coming tomorrow.
Case40,मदन नेनपा हुजुमे,Madan! Come here.
Case41,पेमिल गापा सिलिगुड़िए  सेनो ताना,Pemil is going to Siliguri tomorrow.
Case42,सिंगि दो सिंगि हासुर पाए सेनो ताना,The sun is moving towards the west.
Case43,आमा: पुति हामबाला,Your book is heavy.
Case2.1,रादा दुमे केने,Radha is sleeping.
Case4,आए दुमे केने,He is sleeping.
Case2.3,आए बोले तेर केडा,He kicked the ball.
Case2.7,आए मिनडो हाकेते दारुए मा: केडा,He cut the tree with an axe.
Case2.8,आइंग बसतेइंग हुजु लेना,I came by bus.
Case2.9,राजा आया एरा मिनडो बा एमाइए,Raja gave a flower to his wife.
Case2.10,रादा रामेस लो बाजार सेनो याना,Radha went with Ramesh to the town.
Case2.11,आपु आया होन लागिड मिनडो इनुंग तेआ किरिंग केडा,Father bought a toy for his son.
Case2.12,सामा आया ओआ: रेनको लागिडए पाइटी ताना,He is working only for his family.
Case2.13,आइंग रेञगे: रे मेनाञए,I am hungry.
Case2.14,आञा बो: हासु ताना,I have a headache.
Case2.15,आए कलकताते हुजुए,She will come from Kolkata.
Case2.16,पाताको दारुइते गासार ताना,Leaves are falling down from the tree.
Case37,आया उनडि कोआइंग लेलाइए,I saw her brother.
Case2.18,दुएर रेआ कुनडी रापुडे केने,The latch of the door is broken.
Case2.19,आको दो आकोआ ओआ: कुनडि रे आपिए सुकुरि को रिके ताड कोआ,They kept three pigs in their backyard.
Case2.20,आञा उनडि कुइ इसकुल रे मेनाइए,My sister is in school.
Case2.21,रादा मिजोरेम रे टाइने,Radha lives in Mizoram.
Case2.22,आए गापाए हुजुए देरांग,He might come tomorrow.
Case2.23,आञा जुड़िए उनडिते कुइ हासु ताना,My friend's sister was ill.
AD1,ओआ सामनंग रे उरी मेनाइए,The cow is in front of the house.
AD2,आबुए इसकुल बुरु चानाब रे मेना,Our school is behind the mountain.
AD3,बानदोर दारुए चेतान रे मेनाइए,The monkey is on top of the tree.
PN9,गापा अया ओआ: ले सेना तोरांग,We can go to his/her home tomorrow.
PN10,एञगाइंग का सेनो इचिबुए,Mother will not allow us to go.
PN11,आम आञा होन तानाम,You are my student.
PN12,आइंग दो दानांग काजिंग काजि मेआ,I will tell you a secret.
PN13,आबेन नेन कितेब बेन एमाडिंए,You gave me this book.
PN15,आबेन मिनडो बुगि जुड़ी ताना बेन,You are a nice couple.
PN16,आए ओआए उदुब मेआ,She will show you the house.
PN17a,आबेना आँनदी हुजु चाँनडु रे होबाओआ,You will get married next month.
PN17b,आञा आन्दी हुजु चान्डु रे होबाओआ,You will get married next month.
PN18,आबेन आन्दी तेया गे आञा सानांग दो मेना:,I want you to marry each other.
PN19a,आपे साबिन नेन हो लो चिरगेल मेना:,You all know this person.
PN19b,आपे साबिन नेन हो लो चिरगेल मेना:,You all know this person.
PN20a,गोए: मेयाइंग,I will kill you.
PN20b,गोए: पेयाइंग,I will kill you all.
PN21a,आबेन आञा ओआ: हुजु बेन,You please come to my home.
PN21b,आपे साबिन आञा ओआ: हुजु पे,You all please come to my home.
PN22a,मान मानातिंग पेयाइंग,I respect you.
PN22b,आइंग साबिन कोइंग मान मानातिंगए,I respect you all.
PN23,आए सुकरी जिलु बाढ़िंए बाइए,He cooks good pork.
PN24,आए गापा हुजु तेआ काजि पे,Tell him to come tomorrow.
PN25,आए दो आञा काका ताना,He is my uncle.
PN26,सरिता आयर काए लेलाइए,Sarita has not seen him before.
PN27,आए मिनडो मिसटेस ताना,She is a teacher.
PN28,आए रेम बिसवास दाइए,You can trust her.
PN29,आए तिसिंग का हुजु दाइयेने,She was not able to come today.
PN30,आम हुजु लेन तेयाइंग काजि कोआ,I will tell her you came.
PN31,नेना एसु चेरा मेना:,It is beautiful!
PN32,आइंग बुगिञ आटकर केडा,I liked it.
PN33,नेकिंग जोड़ा होनकिंग,They are twin brothers.
PN34,आइंग सेता: पाञइंग लेलाइए,I saw them in the morning.
PN35,आए: हाकु को बाले तेआए सुकुए,They like fishing.
PN36,आञा आपुते इसकुल रे पड़ाओ किए,My father taught them in school.
PN38,आए लो आयरओबेन नेपेल लेना चि का,Have you met them before?
PN39,आए साबिन सोमोए गोपोनदेआ,They fight all the time.
PN40,आए दो काबेन हारातिंग दाइए,You cannot defeat them.
PN41,आकिंग बुगिने किंग,They are nice!
PN42,आए दो काइंग सुकुतेन टाइकेना,I didn't like them.
PN44,आकिंग लो काबेन नेपेला काना,You haven't met them.
PN46,आकिंग लो काम् नेपेला काना,You haven't met them.
PN47,एना नोकलि नोट ताना,They are fake notes.
PN48,एनको एसु लार तेम चिरगेल कोआ,You can easily recognise them.
Case1,कुई होन लानदा केडा,The girl laughed.
Case2,आए: रा: केडा,She cried.
Case3,आइंग कु:ओइंग,I will cough.
Case4,आए गिति तेने,He is sleeping.
Case5,आम निरेम,You will run away.
Case6,आको गाड़ा पा को सेन याना,They walked near the river.
Case7,राम सिताए लेलाइए,Ram saw Sita.
Case8,आएइंग लेलाइए,I saw her.
Case9,आए माराञहो को लेल कोआ,She sees the elephant.
D1,मिन्डो कोआ आम् लो नेपेल्ते हुजु लेना,A boy came to meet you.
D2,कोआ तनी जिलिंग ओनड़ो एसेल  टाइकेना,The boy was tall and fair.
D3,कोआ तनी कजी केड़ा ची आए मिनड़ो कुइ होन लो नेपेल लेना,The boy said that he met a girl.
D4,आए ओकोन कुइ होन लोए नेपेल याना आए आमा: उनडीते  कुइ टाईकेना,The girl he met was your sister.
D5,मिनडो कुइ होन आम लो नेपेलते हुजू लेना,A girl came to meet you.
D6,मिनडो कुइ होन लो नेपेल लागीडींग काजी ताड मेआ,I told you to meet a girl.
D7a,नेन हो आञंअ: उनडीते कुइए जुड़ी तना,This man is my sister's friend.
D7b,नी दो आञा: उनडीते कुइए जुड़ी तना,This is my sister's friend.
D8a,सेनोयन हाट मिन्डो आन्दी रे आञ नेन कुइ होन लोञ नेपेल यना,I met this girl at a wedding last week.
D8b,सेनोयन हाट मिन्डो आन्दी रे आए लोञ नेपेल यना,I met her at a wedding last week.
D9a,नेन डाबा एसु हामबल गे मेना,This box is very heavy.
D9b,नेना एसु हामबाला,This is very heavy.
D10a,आञ नेन कोआ होनकोञ लेलाडा,I have seen these boys.
D10b,आञ नेकोञ लेलाडा,I have seen these.
D10c,आञ एनकोञ लेलाडा,I have seen them.
D11a,नेन कुइ होनको नेनता: को इनुंग टाइकेना,These girls were playing here.
D11b,नेको नेनता को इनुंगतन टाइकेना,These were playing here.
D11c,आको नेनताको इनुंग तन टाइकेना,They were playing here.
D12a,आञ नेन बैगञ इडीए,I will take these bags.
D12b,आञ नेनाञ इडीए,I will take these.
D13a,नेको दो सिंगी ओल को ओन्डो एनको दो सिंगी हासुर को,These people are from the East and those people are from the west.
D13b,नेको दो सिंगी ओल रेन को ओन्डो एनको दो सिंगी हासुर रेन को,They are from the East and they are from the west.
D13c,नेको दो सिंगी ओल रेन को ओन्डो नेको दो सिंगी हासुर रेन को,These are from the East and these are from the west.
D14a,एन हो आञा जुड़ी दो का तना,That man is not my friend.
D14b,आए दो आञा जुड़ी का तना,That is not my friend.
D14c,आए दो आञा जुड़ी का तना,He is not my friend.
D15a,आञ नेन एरा दो आयरोञ लेलाइए,I have seen that woman before.
D15b,नी दो आयारोञ लेलाइए,I have seen that before.
D15c,आए दो आयारोञ लेलाइए,I have seen her before.
D16a,आए एन पुतीए नाम ताना,He wants that book.
D16b,आए नेनाए नाम ताना,He wants that.
D17a,एन कोआ होन को चास होआ कना को,Those boys are farmers.
D17b,अको चास होआ कना को,Those are farmers.
D17c,अको चास होआ कना को,They are farmers.
D18a,आम एन एराते तेको जोका टाकाम एम दाइए,You can give those women some money.
D18c,आम एन एराते तेको जोका टाकाम एम दाइकोआ,You can give those women some money.
D18b,आबेन एनको जोका टाका बेन एम दाइकोआ,You can give those/them some money.
D18d,आम एनको जोका टाकाम एम दाइकोआ,You can give those/them some money.
D19a,एन ओआ: पापारी ताना,Those houses are old.
D19b,ऐना पापारी ताना,Those are old.
D20a,एन कुइ होन लो आन्दी तेयाञ नाम ताना,I want to marry that girl.
D20b,आञ आए लो आन्दी तेआञ नाम ताना,I want to marry her.
D21a,एन कोआ होन आञा उनडीते कुइ लोए आन्दीने,That boy will marry my sister.
D21b,आए आञा उनडीते कुइ लोए आन्दीने,He will marry my sister.
D21c,आए आञा उनडीते कुइ लोए आन्दीने,That will marry my sister.
D22a,गापा आबु एन बुरुबू राकाब दाईए,Tomorrow we can climb that mountain.
D22b,गापा आबु हानताबु राकाब दाइए,Tomorrow we can climb that one.
D23a,एन कुइ होन किंग आञा इस्कूल रेन किंग,Those girls are from my school.
D23b,आको आञा इस्कूल रेन को,They are from my school.
D23c,आको आञा इस्कूल रेन को,Those are from my school.
