Id,Prompt,Completion
19,ᱪᱮᱫ ᱚᱡᱮᱛᱮ ᱠᱤᱪᱷᱩᱜᱟᱱ ᱫᱳᱠᱟᱱ ᱛᱮ ᱩᱯᱟᱹᱭᱟᱱ ᱴᱳᱥᱤᱱ ᱠᱚ ᱪᱷᱟᱹᱲ ᱠᱚᱨᱟᱣ ᱟᱹᱰᱤ ᱟᱱᱟᱴ ᱠᱟᱱᱟ?,ᱥᱴᱟᱯᱷᱟᱭᱞᱳᱠᱟᱠᱟᱥ ᱟᱨ ᱤᱼᱠᱳᱞᱤ ᱞᱮᱠᱟᱱ ᱵᱮᱠᱴᱮᱨᱤᱭᱟ ᱠᱷᱚᱱ ᱮᱱᱴᱮᱨᱳᱴᱳᱠᱤᱥᱤᱱ ᱫᱚ ᱦᱚᱭ ᱨᱮᱭᱟᱜ ᱮ ᱴᱮᱠᱟᱣ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱟᱨ ᱯᱮᱥᱴᱤᱭᱩᱨᱟᱭᱡᱮᱥᱚᱱ ᱠᱷᱚᱱ ᱮ ᱫᱚᱦᱚ ᱫᱟᱲᱮᱹᱭᱟᱜᱼᱟ ᱾
20,ᱫᱚᱫᱽ ᱨᱮ ᱮᱯᱷᱞᱟᱴᱳᱠᱤᱥᱤᱱ ᱵᱚᱱᱚᱫᱚᱞ ᱨᱮᱱᱟᱜ ᱚᱡᱮ ᱪᱮᱫ?,ᱮᱥᱯᱟᱨᱜᱤᱞᱟᱥ ᱯᱷᱞᱟᱵᱷᱟᱥ ᱟᱨ ᱮᱥᱯᱟᱨᱜᱤᱞᱟᱥ ᱯᱮᱨᱟᱥᱟᱭᱮᱴᱤᱠᱟᱥ ᱞᱮᱠᱟᱱ ᱮᱥᱯᱟᱨᱜᱤᱞᱟᱥ ᱡᱟᱹᱛ ᱠᱚ ᱫᱟᱨᱟᱭ ᱛᱮ ᱵᱮᱱᱟᱣ ᱯᱷᱟᱝᱜᱚᱞ ᱢᱮᱴᱟᱵᱳᱞᱟᱭᱤᱴ ᱾
21,ᱵᱤᱨᱤᱭᱟᱹ ᱠᱚ ᱢᱩᱫ ᱨᱮ ᱪᱟᱞᱟᱜ ᱚᱠᱛᱚ ᱪᱮᱫ ᱪᱮᱫ ᱥᱟᱡᱚᱥ ᱟᱹᱨᱤ ᱯᱟᱞᱚᱱ ᱠᱚᱨᱟᱣ ᱞᱟᱹᱠᱛᱤ ᱠᱟᱱᱟ?,ᱨᱳᱜᱽ ᱜᱮᱢᱮᱧ ᱵᱚᱱᱚᱫᱚᱞ ᱞᱟᱹᱜᱤᱫ ᱥᱩᱛᱚ ᱰᱮᱥᱯᱚᱡᱮᱵᱚᱞ ᱜᱚᱞᱵᱷᱚᱥ ᱵᱮᱣᱦᱟᱨ ᱢᱮ ᱥᱮ ᱛᱤ ᱫᱚ ᱵᱮᱹᱥᱱᱤᱦᱟᱹᱭ ᱢᱮ ᱾
22,ᱯᱨᱤᱼᱰᱤᱯᱤᱝ ᱞᱟᱹᱜᱤᱫ ᱥᱯᱨᱮᱭᱤᱝ ᱟᱨ ᱰᱤᱯ ᱠᱟᱯ ᱨᱮᱭᱟᱜ ᱛᱟᱞᱟ ᱨᱮ ᱵᱤᱰᱟᱹᱣ ᱢᱮ ᱾,"ᱮᱥᱯᱨᱟᱭ ᱠᱚᱨᱟᱣ ᱫᱚ ᱡᱟᱹᱥᱛᱤ ᱥᱮᱱᱤᱴᱤ, ᱮᱴᱟᱜ ᱥᱮᱪ ᱰᱤᱯ ᱠᱟᱯ ᱫᱚ ᱟᱨᱦᱚᱸ ᱱᱟᱯᱟᱭ ᱯᱚᱨᱤᱢᱟᱱ ᱮᱢᱼᱟ, ᱢᱮᱱᱠᱷᱟᱱ ᱟᱹᱰᱤ ᱜᱟᱹᱛᱤᱞ ᱨᱮᱭᱟᱜ ᱞᱟᱹᱠᱛᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱾"
23,ᱫᱚᱫᱽ ᱨᱮᱭᱟᱜ ᱪᱮᱫ ᱪᱤᱱᱦᱟᱹ ᱜᱮᱢᱮᱧ ᱨᱮᱭᱟᱜ ᱪᱤᱱᱦᱟᱹ ᱠᱟᱱᱟ?,"ᱜᱷᱟᱹᱞ, ᱯᱷᱚᱞᱮᱠ, ᱫᱟᱜ, ᱫᱟᱜ, ᱜᱮᱥ ᱥᱮ ᱚᱵᱷᱟᱵᱽ ᱟᱱᱟᱜ ᱜᱩᱱ ᱾"
24,ᱫᱳᱠᱟᱱ ᱥᱟᱞᱟᱜ ᱡᱳᱜᱟᱡᱳᱜ ᱞᱟᱹᱜᱤᱫ ᱢᱩᱲᱩᱫ ᱵᱮᱠᱴᱮᱨᱤᱭᱟ ᱠᱚᱣᱟᱜ ᱧᱩᱛᱩᱢ ᱞᱟᱹᱭ ᱢᱮ ᱾,"ᱥᱴᱟᱯᱷᱟᱭᱞᱳᱠᱳᱥᱤ, ᱮᱱᱴᱮᱨᱳᱠᱳᱥᱤ ᱟᱨ ᱮᱥᱪᱮᱨᱤᱪᱤᱭᱟ ᱠᱳᱞᱤ ᱾"
25,ᱪᱮᱫ ᱚᱡᱮᱛᱮ ᱵᱮᱼᱲᱤᱪᱟᱹᱨ ᱨᱮᱭᱟᱜ ᱦᱚᱭᱟᱨᱟ ᱠᱚ ᱠᱞᱤᱯ ᱠᱚᱨᱟᱣ ᱞᱟᱹᱠᱛᱤ ᱠᱟᱱᱟ?,ᱥᱟᱧᱪᱟᱣ ᱫᱚᱦᱚ ᱟᱨ ᱚᱰᱮᱲ ᱨᱮ ᱢᱮᱲᱟᱹᱜ ᱠᱚᱢ ᱞᱟᱹᱜᱤᱫ ᱾
26,ᱰᱚᱭᱟᱨᱤ ᱥᱟᱭᱤᱱᱥ ᱨᱮ ᱰᱚᱭᱟᱨ ᱫᱚ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱵᱚᱨᱱᱚᱱ ᱦᱩᱭ ᱟᱠᱟᱱᱟ?,"ᱫᱳᱠᱟᱱ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱢᱤᱫ ᱞᱮᱠᱴᱤᱭᱟᱹᱞ ᱥᱚᱨᱟᱥᱚᱱ ᱡᱟᱦᱟᱸ ᱫᱚ ᱱᱟᱯᱟᱭ ᱫᱟᱹᱨᱟᱹᱣᱟᱱ ᱵᱤᱨᱤᱭᱟᱹ ᱴᱷᱮᱱ ᱠᱷᱚᱱ ᱧᱟᱢᱚᱜᱼᱟ; ᱱᱚᱶᱟ ᱫᱚ ᱜᱚᱴᱟᱼᱵᱩᱴᱟᱹ, ᱪᱷᱟᱹᱲ, ᱥᱩᱛᱚᱱ ᱟᱨ ᱠᱳᱞᱳᱥᱴᱨᱟᱢ ᱠᱷᱚᱱ ᱪᱷᱟᱹᱲ ᱦᱳᱭᱳᱜᱼᱟ ᱾"
27,ᱫᱚᱲ ᱫᱚ ᱪᱮᱫ ᱞᱟᱹᱜᱤᱫ ᱢᱤᱫᱴᱟᱝ ᱥᱚᱨᱮᱥ ᱡᱚᱢᱟᱜ ᱢᱮᱱᱛᱮ ᱢᱚᱱᱮ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ?,"دودھ ᱪᱮᱛᱟᱱ ᱢᱟᱹᱱ ᱨᱮᱭᱟᱜ ᱯᱨᱳᱴᱤᱱ, ᱠᱮᱞᱥᱤᱭᱟᱢ, ᱯᱷᱟᱥᱯᱷᱳᱨᱟᱥ, ᱵᱤᱴᱟᱢᱤᱱ, ᱞᱮᱠᱴᱳᱡᱽ ᱟᱨ ᱢᱮᱲ ᱮ ᱮᱢᱚᱜᱼᱟ, ᱡᱟᱦᱟᱸ ᱱᱚᱶᱟ ᱫᱚ ᱡᱟᱱᱟᱢ, ᱦᱩᱱ ᱵᱮᱱᱟᱣ ᱟᱨ ᱫᱟᱲᱮ ᱞᱟᱹᱜᱤᱫ ᱟᱹᱰᱤ ᱞᱟᱹᱠᱛᱤᱼᱟ ᱾"
28,ᱫᱚᱲᱜᱟᱹᱧ ᱵᱮᱣᱦᱟᱨ ᱠᱷᱚᱱ ᱪᱮᱫ ᱜᱟᱫᱮᱞ ᱡᱚᱛᱚ ᱠᱷᱚᱱ ᱰᱷᱮᱨ ᱮ ᱥᱤᱜᱤᱞᱚᱜᱼᱟ?,"ᱱᱚᱶᱟ ᱨᱮᱭᱟᱜ ᱥᱟᱱᱟᱢ ᱱᱩᱴᱨᱤᱥᱚᱱ ᱯᱚᱨᱯᱷᱟᱭᱤᱞ ᱠᱷᱟᱹᱛᱤᱨᱛᱮ ᱜᱟᱹᱨᱰᱩ ᱛᱤᱨᱞᱟᱹ, ᱜᱤᱫᱽᱨᱟᱹ, ᱢᱟᱨᱟᱝ, ᱢᱟᱨᱟᱝ ᱦᱚᱲ, ᱵᱮᱼᱵᱟᱹᱛᱤᱞ ᱟᱨ ᱨᱟᱹᱲᱤᱭᱟᱹ ᱠᱚ ᱥᱤᱜᱤᱞᱚᱜᱼᱟ ᱾"
29,ᱥᱩᱛᱚ ᱫᱳᱠᱟᱱ ᱨᱮᱭᱟᱜ ᱪᱤᱱᱦᱟᱹ ᱠᱚ ᱪᱮᱫ?,"ᱥᱩᱛᱚ ᱫᱳᱠᱟᱱ ᱫᱚ ᱱᱟᱯᱟᱭ ᱵᱤᱨᱤᱭᱟᱹ ᱴᱷᱮᱱ ᱠᱷᱚᱱ ᱦᱮᱡᱚᱜᱼᱟ, ᱢᱮᱲᱤ, ᱵᱮᱼᱲᱤᱪᱟᱹᱲ, ᱯᱮᱛᱷᱳᱡᱮᱱ ᱠᱷᱚᱱ ᱪᱷᱟᱹᱲᱚᱜᱼᱟ, ᱵᱮᱠᱴᱮᱨᱤᱭᱟ ᱠᱚᱢ ᱛᱟᱦᱮᱸᱱᱟ, ᱟᱨ ᱥᱟᱫᱷᱟᱨᱚᱱ ᱵᱮᱱᱟᱣ ᱟᱨ ᱮᱥᱤᱰᱤᱴᱤ ᱮ ᱫᱚᱦᱚᱼᱟ ᱾"
